"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/longDescription/entities/0/fromIndex","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/__typename","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/legacy/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/mention_results/result/rest_id","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/screen_name","author/affiliatesHighlightedLabel/label/longDescription/entities/0/ref/type","author/affiliatesHighlightedLabel/label/longDescription/entities/0/toIndex","author/affiliatesHighlightedLabel/label/longDescription/text","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isBlueVerified","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/pinnedTweetIds/0","author/possiblySensitive","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","text","createdAt"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/420468980/1732237368","Thu Nov 24 17:28:18 +0000 2011","",,,,,,,,,,,"0","509","389","4632","false","420468980","false","false","false","Silver Spring, MD","22473","Selena Robinson",,"false","https://pbs.twimg.com/profile_images/596052809411268608/L7L3Vaed_normal.jpg","","78458","https://twitter.com/SelenaRobinson3","user","https://x.com/SelenaRobinson3","SelenaRobinson3","why didn't my estrange-mother contact former FBI Director Mueller or others in the FBI during a FBI investigation where she was employed","Mon Jul 17 23:58:10 +0000 2017"
,,,,,,,,,,,"false","false","https://pbs.twimg.com/profile_banners/1380535472/1404251546","Thu Apr 25 22:15:35 +0000 2013","crazy old curmudgeon who only sauntered.",,,,,,,,,,,"0","8648","36","345","true","1380535472","false","false","false","","208","cameratales",,"false","https://pbs.twimg.com/profile_images/3592113370/ef7a2c74647cb1a9e602338746fabd93_normal.jpeg","","9540","https://twitter.com/the_saunterer","user","https://x.com/the_saunterer","the_saunterer","Trump team strategy to shit down investigation and fire Mueller  https://t.co/80et1cpNHq","Mon Jul 17 23:55:38 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/1072763305/1393167913","Wed Jan 09 03:55:04 +0000 2013","Self taught photographer. I use film and polaroids. Musician. Nudist. Stoner. Animal Lover. Tattoo collector.",,,,,,"icanlivewithoutbull.tumblr.com","http://icanlivewithoutbull.tumblr.com","0","23","https://t.co/XwkyNr3A4t","0","9695","250","483","false","1072763305","false","false","false","New York, NY","806","film polaroid",,"false","https://pbs.twimg.com/profile_images/1042531166732120069/wQ6oIiYS_normal.jpg","","9709","https://twitter.com/LopezSlope63","user","https://x.com/LopezSlope63","LopezSlope63","@zesty_leftwing Wait for Mueller to finish the investigation. He has made us a laughingstock in the global field.","Mon Jul 17 23:48:44 +0000 2017"
,,,,,,,,,,,"false","false","https://pbs.twimg.com/profile_banners/823955200310382592/1647977363","Tue Jan 24 18:06:43 +0000 2017","Curious observer of the human species. “lead,follow or get out of the way”.-Patton",,,,,,,,,,,"0","7625","103","668","true","823955200310382592","false","false","false"," ","25","Lorie",,"false","https://pbs.twimg.com/profile_images/1648691575239634944/vrGW6bXv_normal.jpg","","5969","https://twitter.com/RpMlo","user","https://x.com/RpMlo","RpMlo","@FoxNews So how much to date has Robert Mueller and the investigation cost the American public???","Mon Jul 17 23:42:02 +0000 2017"
,,,,,,,,,,,"true","true",,"Mon Jul 10 03:40:16 +0000 2017","That's just how it is, period.",,,,,,,,,,,"0","288","80","591","false","884255929130258432","false","false","false","United States","11","Suburban Gentleman","930288117059334144","false","https://pbs.twimg.com/profile_images/884257481727324160/4xw5JJ36_normal.jpg","","2671","https://twitter.com/SubGentleman1","user","https://x.com/SubGentleman1","SubGentleman1","@Znoes @scchumpert @ABC I mean you remember why Mueller's investigation is two months old right? That's when DJT fired Comey. Mueller then appointed spec. counsel.","Mon Jul 17 23:37:27 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/727921540122161152/1539666906","Wed May 04 18:03:14 +0000 2016","Wife, proud Auntie, 🐶 Dog Mom, 🙏 Christian, Common Sense Conservative, 🇺🇸🇺🇸🇺🇸Patriotic American, Non-PC, Anti-Politician",,,,,,,,,,,"0","154460","3761","5204","true","727921540122161152","false","false","false","","1906","Darla J Erickson",,"false","https://pbs.twimg.com/profile_images/1052073387441434624/6PK_mn3H_normal.jpg","","117712","https://twitter.com/bogiebeagle2","user","https://x.com/bogiebeagle2","bogiebeagle2","@mattmittenthal @Cernovich This Investigation+harassment of these people because Corrupt Deep State Push a Bogus Investigation is a disgrace.Trump should fire Mueller","Mon Jul 17 23:34:59 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/420468980/1732237368","Thu Nov 24 17:28:18 +0000 2011","",,,,,,,,,,,"0","509","389","4632","false","420468980","false","false","false","Silver Spring, MD","22473","Selena Robinson",,"false","https://pbs.twimg.com/profile_images/596052809411268608/L7L3Vaed_normal.jpg","","78458","https://twitter.com/SelenaRobinson3","user","https://x.com/SelenaRobinson3","SelenaRobinson3","why didn't FBI Director Robert Mueller/Agent Roger Greenbank investigate why there was a federal investigation centering around me on my job","Mon Jul 17 23:33:49 +0000 2017"
,,,,,,,,,,,"false","true","https://pbs.twimg.com/profile_banners/23156178/1695420062","Sat Mar 07 02:56:33 +0000 2009","don’t look at me, I voted for her.   #WelcomeToMyPhishyLife  ✌️💙✨⭕️🎶",,,,,,,,,,,"0","166702","1598","2045","true","23156178","false","false","false","Philly, PA","15933","Stacy Benstock Klein","1712584900732174793","false","https://pbs.twimg.com/profile_images/1814840076687273984/DLLauNFC_normal.jpg","","95131","https://twitter.com/stacytklein","user","https://x.com/stacytklein","stacytklein","@jdbroncos @hardball @LawProfButler Name calling, how mature. PSA Mueller's investigation is good for the entire country. So sad how his base are only concerned with themselves https://t.co/yqEiAHw1JC","Mon Jul 17 23:32:05 +0000 2017"
,,,,,,,,,,,"true","true",,"Mon Jul 10 03:40:16 +0000 2017","That's just how it is, period.",,,,,,,,,,,"0","288","80","591","false","884255929130258432","false","false","false","United States","11","Suburban Gentleman","930288117059334144","false","https://pbs.twimg.com/profile_images/884257481727324160/4xw5JJ36_normal.jpg","","2671","https://twitter.com/SubGentleman1","user","https://x.com/SubGentleman1","SubGentleman1","@Znoes @scchumpert @ABC I'm not sure we'll know the results of Mueller's two month old investigation until it's over. That's usually how that works.","Mon Jul 17 23:31:14 +0000 2017"
,,,,,,,,,,,"false","true",,"Wed Jul 06 20:34:30 +0000 2016","",,,,,,,,,,,"0","417","107","2024","true","750790044743458816","false","false","false","","286","Swanny",,"false","https://pbs.twimg.com/profile_images/750790666901331968/iO9CZsYa_normal.jpg","","10268","https://twitter.com/Swannytome","user","https://x.com/Swannytome","Swannytome","B/S Standard: 
Would a Judge grant Special Counsel Mueller a search warrant based on the latest colussion &amp; Russian hacking investigation ?","Mon Jul 17 23:23:39 +0000 2017"
